,datetime,city,state,country,shape,duration_s,hours,comments,date_p,latitude,longitude
30588,2/20/2013 07:00,north york (canada),on,ca,light,120,2 minutes,Two motionless hazy white lights in bright morning sky supported by nothing.,8/30/2013,43.761538,-79.411079
30593,2/20/2013 21:00,lyme,ct,us,rectangle,1500,25 minutes,Multiple Bars of Lights Hovering in the Sky Over House.,2/28/2013,41.4,-72.35
30605,2/20/2014 19:25,aguadilla (puerto rico),,,light,180,3 minutes,Bright star like object moving slowly and quietly across the horizon.,2/21/2014,0.0,0.0
30607,2/20/2014 20:00,queretaro (mexico),,mx,oval,300,5 minutes,Very smooth&#44 arched flight path.,3/18/2014,20.588793,-100.389888
30618,2/21/1978 03:00,soccoro (outside of),nm,us,unknown,600,10+ minutes,INTENSE BLUE BEAM OF LIGHT. PARALYZING AFFECT. OBJECT WAS NOT VISIBLE DURING EVENT .,9/24/2012,34.0584,-106.89141599999999
30619,2/21/1994 19:00,new mexico,nm,us,light,600,10min,flashing bright lights following 60mph auto at its level,3/2/2004,34.519940000000005,-105.87008999999999
30620,2/21/1995 01:10,lake tahuyeh,wa,us,,1200,20 min.,MUFON member reports gigantic&#44 black ship passes NNE over house at 5 mph. 20 min sighting. Good rept.,11/2/1999,47.565051000000004,-122.837069
30624,2/21/1995 20:30,colville reservation,wa,us,,0,,Colville Police Disp. repts. &quot;blue&#44 shimmering thing&quot; observed.  Then it &quot;blew up&#44&quot; and disappeared.,11/2/1999,48.19988,-118.8678
30629,2/21/1998 18:00,north america&#44 bermuda,,us,formation,14400,approx. 4hrs,Not sure what to make of it,1/28/1999,37.324211,-77.40134
30642,2/21/2000 23:30,pennien hills (uk/england),,gb,light,120,2 mins,the ship was flashing in red green and yellow sort of bobing up and down and side to side it was very fast thir was no sound,2/27/2000,51.256817,-1.1295620000000002
30655,2/21/2002 21:30,datil/magdalena (between),nm,us,light,1200,approx. 20 min,The lights moved in unprecedented manuevers and speed and emitted other beams from them.,3/19/2002,34.116731,-107.243925
30658,2/21/2003 02:20,uk/scotland,,gb,circle,900,15mins,In a clear sky the Star shone bright with what appeared to be white glowing fireflys buzzing aroung it.,3/4/2003,56.490671,-4.202646
30661,2/21/2004 02:00,warsaw (poland),,,triangle,300,2-5 minutes,Three triangular shaped aircarfts sighted moving fast in Poland&#44 in close distance to Warsaw.,3/2/2004,0.0,0.0
30664,2/21/2004 21:00,matauri bay (near kerikeri) (new zealand),,nz,light,900,15 minutes,Nine  Orange lights appeared and headed out to sea.,3/2/2004,-35.04278,173.902626
30674,2/21/2005 20:35,embu (brazil),,br,fireball,5,5 seconds,Great yellow light like fireball behind some trees in Embu&#44 SP - Brazil,2/22/2005,-23.651508,-46.852185999999996
30697,2/21/2008 19:30,purdy,ny,us,egg,300,5minutes,An oval flying object descended from a cloud and returned within 5 minutes.  No wings.,6/12/2008,41.325775,-73.659061
30722,2/21/2010 23:00,new hampshire??,nh,us,,0,,Pinkerton Academy class of  &#3965 Hello&#44 Davenport&#33,4/13/2010,43.193852,-71.572395
30727,2/21/2011 18:00,palm spring/indio,ca,us,circle,300,3-5 minutes,5-6 bright lights in straight line from afar&#44 stationary&#44 not blinking whitish-yellow&#44 up close it&#39s light from a round silent craft.,2/23/2011,33.777512,-116.29293999999999
30742,2/21/2013 15:28,turrialba (costa rica),,cr,triangle,0,unknown,Captured image from government owned&#44 fixed base volcano observation camera  - Costa Rica.,2/28/2013,10.033333,-83.766667
30745,2/21/2013 20:00,crabwood creek (guyana),,gy,sphere,30,30 seconds,((HOAX??))  Please investigate.,2/28/2013,5.810551,-57.174626
30752,2/21/2014 12:30,grand rivers,,us,sphere,300,5 minutes,Six orbs sighted in broad daylight near Grand Rivers.,3/18/2014,37.003111,-88.234475
30757,2/21/2014 18:45,la porte,in,us,circle,30,30 seconds,2 bright star like objects near Canis Major.,2/27/2014,41.611143,-86.722719
30762,2/21/2014 19:45,(city not specified),mo,,other,15,15 seconds,((HOAX??)) Orange flower.,2/27/2014,0.0,0.0
30766,2/21/2014 19:56,santo domingo (dominican republic),,,formation,840,14 minutes,Varied&#44 apparently related sightings&#44 leading to an impressive display of coordinated flight.,3/27/2014,0.0,0.0
30767,2/21/2014 20:00,eastvale,ca,us,fireball,180,2-3 minutes,Single Red Fireball.,2/27/2014,33.963056,-117.56388899999999
30778,2/21/2014 23:30,stoney beach,md,us,chevron,300,5 minutes,Three objects over the water with flashing lights.,2/27/2014,39.172074,-76.522042
30782,2/2/1965 06:00,seattle/belfair,wa,us,sphere,7200,2 hours,Huge&#44 bright orb in sky over Seattle in 1960s.,7/16/2003,47.619239,-122.207923
30789,2/2/1995 02:00,unidentified object sig&#44 (vic&#44 australia),,,light,900,15 minutes,Irregular movement of star shape/intensity object,1/28/1999,0.0,0.0
30794,2/2/1995 23:00,shady grove,or,,,900,15 min,Man and wife witness very bright&#44 moving light over ridge to southwest.  Flashing green &amp; red lights. Good rept.,11/2/1999,0.0,0.0
30798,2/2/1998 19:00,fort cambell (25 or 30 mi. nw),ky,us,light,2400,40min,a series of four lights one below the other . the color of orange(like a light in a parking lot),8/5/2001,36.663447,-87.47739
30801,2/2/1999 02:00,mt. horeb,wi,,other,40,40 seconds,F-16&#39s chasing object,2/16/1999,0.0,0.0
30814,2/2/2000 00:00,silverlake,wa,us,diamond,120,2 min,Four lights showing through overcast in a diamond shape patter.  Then a  a fifth light appears on right and drops in a curve toward gro,2/16/2000,46.295656,-122.78329699999999
30815,2/2/2000 03:00,area 51 and mercury,nv,us,light,10800,3 hours,returning to Mercury and then on to Area 51 to watch the &quot;dancing stars&quot;,2/18/2001,36.223442,-115.117741
30816,2/2/2000 10:00,long island,ny,us,triangle,0,new york,I was outside taking my dog out&#44 when suddenly an object caught my eye. I looked at it more closely&#44 and I noticed it had green&#44 red&#44 a,2/16/2000,40.789142,-73.13495999999999
30841,2/2/2002 09:30,frost proof,fl,us,light,1800,30min.,bright yellow lights appearing disappearing and changing locations,2/22/2002,27.745863,-81.530631
30842,2/2/2002 15:30,curitiba (brazil),,br,cylinder,1800,30 minutes,A big cylinder floating in the sky,2/22/2002,-25.420039000000003,-49.265097
30865,2/2/2003 22:00,kuala lumpur (malaysia),,my,,300,5 mins.,4 glowing and moving objects&#44 halogen colour&#44 slightly bigger than a tennis ball.  The sky was very clear with patches of white clouds.,3/21/2003,3.1390029999999998,101.68685500000001
30873,2/2/2004 22:30,cape town (south africa),,za,other,300,5 minutes,I saw a bright orange &quot;ball&quot; hovering and moving short distances at speed,2/12/2004,-33.924868,18.424055
30888,2/2/2006 18:30,puerto vallarta (mexico),,mx,disk,7200,2 hours +,Irreguelar &quot;cloud&quot; formations in sky above Bahia de Banderas.,2/14/2006,20.653407,-105.22533200000001
30891,2/2/2006 23:30,west morland,ca,ca,light,600,10:00,bright light traveling 5mi p/h 100ft from us at night made no sound,3/11/2006,49.100909,-123.84859399999999
30898,2/2/2008 01:53,cancun (quintana roo) (mexico),,mx,light,30,30 seconds,Two bright lights zigzaging over Cancun,2/14/2008,21.161908,-86.851528
30908,2/2/2008 22:45,zurich (switzerland),,,unknown,60,1 minute,Orange flickering light moving steadily WSW. It seemed to vanish gradually as satellites normally do - but have never seen this kind of,2/14/2008,0.0,0.0
