,location
1375,"35.46756, -97.516428"
1388,"43.193852, -71.572395"
1389,"44.152565, -71.679528"
1401,"47.497912, 19.040235"
1409,"25.566699, -108.46730500000001"
1410,"39.011902, -98.484246"
1433,"43.804133, -120.554201"
1455,"42.837263, -80.30404200000001"
1468,"31.596553999999998, 130.55711599999998"
1469,"28.535515999999998, 77.391026"
1476,"-44.396972, 171.254973"
1480,"33.606775, -117.88971000000001"
1494,"-37.953410999999996, 176.990801"
1512,"40.057838000000004, -74.137183"
1528,"12.295810000000001, 76.639381"
1537,"38.802609999999994, -116.419389"
1540,"65.71295500000001, 18.718041"
1543,"38.541057, -0.122494"
1573,"43.151355, -79.39277"
1583,"38.550608000000004, -90.33317199999999"
1594,"43.076113, -88.774271"
1608,"16.691308, 74.244866"
1610,"0.0, 0.0"
1631,"22.564254000000002, 114.229432"
1650,"3.8249730000000004, 103.3239"
1657,"32.268698, -107.75863999999999"
1660,"19.876165, 75.343314"
1669,"44.5318, -122.898"
1688,"8.454236, 124.63189799999999"
1692,"42.353244000000004, -114.57503899999999"
1693,"54.978252000000005, -1.61778"
1712,"39.011902, -98.484246"
1730,"38.173168, 20.489973000000003"
1736,"40.300090000000004, -76.858027"
1738,"10.063611, -69.334722"
1739,"17.385044, 78.486671"
1740,"33.598394, 73.044135"
1757,"42.665197, -82.92864300000001"
1761,"29.811876, -85.302974"
1772,"55.431256000000005, -115.60389599999999"
1780,"0.0, 0.0"
1783,"35.696111, 51.423056"
1791,"40.16083, -74.79222"
1805,"42.586888, -82.919551"
1810,"0.0, 0.0"
1813,"39.088346, -96.813939"
1825,"33.638453000000005, -117.90146499999999"
1827,"34.533056, 69.166111"
1853,"40.766613, -111.96743899999998"
1856,"41.867922, -80.566066"
1857,"40.683512, -74.376508"
1861,"0.0, 0.0"
1863,"40.443164, -73.989861"
1871,"34.56, -5.95"
1872,"37.932266, -87.895027"
1880,"37.249053, -77.332431"
1890,"44.586581, -73.38009"
1893,"53.927659999999996, -3.00585"
1897,"0.0, 0.0"
1901,"-8.783195, -124.508523"
1902,"0.0, 0.0"
1903,"0.0, 0.0"
1914,"32.802458, -117.23558500000001"
1920,"0.0, 0.0"
1921,"0.0, 0.0"
1928,"51.165690999999995, 10.451526"
1929,"38.833882, -104.821363"
1937,"34.451249, -112.267407"
1942,"41.785278000000005, -71.61"
1947,"44.475883, -73.21207199999999"
1959,"42.670782, -83.032993"
1961,"29.811876, -85.302974"
1963,"22.223467000000003, -159.556834"
1972,"40.5725, -111.85972199999999"
1975,"38.145876, -104.98058200000001"
1980,"33.581891999999996, -111.253203"
1983,"0.0, 0.0"
1985,"47.528713, -121.825391"
1993,"41.450084000000004, -71.449503"
1995,"40.460475, -97.049844"
1997,"40.163291, -110.402933"
1998,"0.0, 0.0"
2014,"0.0, 0.0"
2019,"35.152027000000004, -86.570551"
2035,"44.82502, -68.78090300000001"
2036,"37.964253, -91.83183299999999"
2041,"40.758390000000006, -82.515447"
2043,"0.0, 0.0"
2057,"25.091075, 121.55983400000001"
2058,"23.885942, 45.079162"
2061,"0.0, 0.0"
2065,"27.838145, -80.485438"
2067,"-27.116667, 31.2"
2069,"0.0, 0.0"
2083,"40.298671999999996, -83.067965"
2084,"48.834913, 2.5236490000000003"
2095,"-27.251405, 152.991072"
2097,"38.907231, -77.036464"
2099,"43.508132, 16.440193"
2113,"0.0, 0.0"
2121,"39.512151, -115.982003"
2124,"43.883595, -89.493439"
2132,"56.81981700000001, -5.105218"
2134,"34.133619, -117.90756299999998"
2144,"38.917488, -77.237997"
2145,"34.702089, -80.894798"
2158,"47.487390000000005, -117.57576200000001"
2164,"31.846940000000004, 120.87286200000001"
2183,"41.858897999999996, -122.553076"
2184,"4.52572, -75.6976"
2187,"32.318231, -86.902298"
2191,"38.907231, -77.036464"
2192,"38.907231, -77.036464"
2196,"39.80832, -104.93386799999999"
2197,"34.163156, -84.49869100000001"
2219,"52.77131800000001, -1.554997"
2230,"47.44732, -122.45985"
2258,"51.510538000000004, -0.5950409999999999"
2259,"54.966667, 73.383333"
2260,"41.591051, -111.38492600000001"
2263,"57.186758, -111.636785"
2292,"32.755488, -97.330766"
2296,"42.439007000000004, -123.328392"
2312,"43.776426, -79.231752"
2327,"34.384721, -117.90284199999999"
2334,"35.16545, -114.556774"
2350,"41.699096000000004, -70.320911"
2376,"32.436381, -111.22244199999999"
2380,"46.959934000000004, -84.687135"
2398,"45.041389, -63.576944"
2410,"10.999444, -63.79444399999999"
2430,"43.128739, -81.483506"
2435,"44.953022, -92.995215"
2444,"59.434091, 10.658383"
2460,"31.768319, 35.21371"
2463,"0.0, 0.0"
2476,"39.111504, -121.359881"
2482,"13.052414, 80.250825"
2495,"0.0, 0.0"
2505,"21.495496, -158.062655"
2508,"42.497258, -82.937141"
2512,"35.691188000000004, -115.49790800000001"
2518,"47.692526, -114.16578100000001"
2529,"45.171617, 28.791444"
2532,"44.926653, -123.491926"
2536,"35.022871, -93.69991800000001"
2538,"24.088938, 32.899829"
2542,"45.168943, -69.38449200000001"
2544,"34.693738, 135.502165"
2550,"36.060293, -107.967008"
2552,"29.443853000000004, -96.94109300000001"
2554,"39.550051, -105.782067"
2557,"34.693536, -84.480261"
2574,"47.941709, -119.004696"
2579,"25.901107, -81.321402"
2591,"42.495556, -82.900278"
2606,"35.689488, 139.691706"
2608,"51.253775, -85.32321400000001"
2614,"27.716432, -97.328818"
2624,"0.0, 0.0"
2638,"51.370447, -2.137629"
2639,"30.415128000000003, -94.88731999999999"
2641,"52.669563000000004, -0.726625"
2642,"36.386022, -79.290213"
2646,"45.593286, -76.660131"
2647,"-16.365181, -46.895720000000004"
2657,"45.318063, -85.2584"
2660,"40.623333, -74.601111"
2665,"40.799721999999996, -113.8"
2668,"13.075417999999999, -59.493768"
2683,"0.0, 0.0"
2706,"43.151355, -79.39277"
2717,"33.629974, -78.96488199999999"
2731,"30.463558000000003, -86.553338"
2733,"35.417522999999996, -97.387416"
2744,"32.165622, -82.900075"
2747,"34.150068, -119.214262"
2770,"37.839333, -84.27001800000001"
2777,"51.608044, -1.24484"
2778,"51.543102000000005, -1.097742"
2782,"50.06465, 19.944979999999997"
2783,"45.116667, 21.3"
2785,"33.325, 44.422"
2790,"-33.924868, 18.424055"
2803,"50.269135999999996, -96.71960899999999"
2810,"46.436543, -81.146561"
2812,"34.772013, 32.429737"
2813,"29.132876, -80.980941"
2817,"41.591051, -111.38492600000001"
2843,"58.147578, 7.996627"
2856,"53.997944999999994, -6.405957"
2870,"37.339386, -121.89495500000001"
2889,"41.591051, -111.38492600000001"
2902,"37.996388, -105.69973300000001"
2912,"42.235640999999994, -71.696998"
2917,"39.177403999999996, -76.668392"
2918,"0.0, 0.0"
2921,"37.972571, -121.14798600000002"
2930,"52.906367, -1.257422"
2954,"44.763452, -121.26616200000001"
2961,"0.0, 0.0"
2970,"0.0, 0.0"
2971,"0.0, 0.0"
2994,"-38.662334, 178.017649"
3001,"9.007197999999999, -79.507698"
3016,"34.716159000000005, -87.693717"
3031,"25.789097, -80.204044"
3034,"53.120932999999994, -2.771825"
3043,"52.355518, -1.17432"
3056,"0.0, 0.0"
3065,"36.304774, -86.619996"
3072,"41.434338000000004, -74.035368"
3076,"37.520215, -122.275801"
3083,"50.866667, 4.7"
3087,"0.0, 0.0"
3089,"-28.316667, 27.6"
3090,"-29.1, 26.216666999999998"
3091,"26.122439, -80.13731700000001"
3092,"-34.183333000000005, 22.133333"
3121,"44.971725, -64.934129"
3131,"40.799721999999996, -113.8"
3143,"37.98295, -120.382172"
3144,"50.753679999999996, 5.30209"
3149,"39.74844, -84.28339799999999"
3162,"40.243578, -109.01456100000001"
3165,"0.0, 0.0"
3166,"14.169912, 121.24406299999998"
3168,"64.133333, -21.933332999999998"
3187,"32.165622, -82.900075"
3194,"34.417924, -118.54251200000002"
3202,"35.040269, -84.730186"
3208,"52.980821, -6.044589"
3210,"0.0, 0.0"
3218,"45.371271, -116.638199"
3221,"45.862337, -122.670378"
3224,"34.924917, -116.911175"
3226,"54.695016, -127.04761"
3259,"36.778261, -119.41793200000001"
3271,"42.586888, -82.919551"
3275,"41.220726, -73.195091"
3280,"9.977844000000001, -84.829421"
3289,"39.299166, -76.57889899999999"
3306,"44.135446, -74.621486"
3316,"42.188354, -122.69044199999999"
3317,"41.878168, -123.984798"
3319,"39.564640000000004, -119.02342800000001"
3339,"35.228545000000004, 128.889352"
3351,"27.411695, -82.428522"
3352,"35.652832000000004, -97.478095"
3355,"33.494170000000004, -111.926052"
3370,"15.5, -88.033333"
3377,"33.174147, -96.87871"
3394,"9.512017, 100.013593"
3399,"31.968598999999998, -99.901813"
3402,"38.738308, -93.57302800000001"
3406,"39.415, -76.356111"
3410,"40.095714, -79.492886"
3418,"41.997296999999996, -117.718997"
3423,"42.765189, -76.872096"
3427,"38.752404999999996, -122.614985"
3431,"35.749435999999996, -78.63156"
3439,"54.898520999999995, 23.903597"
3441,"0.0, 0.0"
3450,"37.709677, -97.30845699999999"
3452,"34.297979999999995, -85.162834"
3454,"0.0, 0.0"
3460,"0.0, 0.0"
3466,"36.613415, -93.463112"
3483,"38.70217, -90.168279"
3489,"43.395920000000004, -92.228675"
3493,"24.711667000000002, 46.724167"
3496,"50.998115000000006, -118.195672"
3511,"37.939968, -104.819887"
3513,"44.330803, -91.342794"
3518,"35.46756, -97.516428"
3521,"36.663447, -87.47739"
3540,"51.396531, 0.177326"
3551,"32.894020000000005, -80.06909399999999"
3582,"32.165622, -82.900075"
3595,"30.788071999999996, -91.376848"
3596,"34.085562, -119.06093500000001"
3598,"37.452662, -118.73656299999999"
3614,"38.412343, -79.58060400000001"
3619,"-33.137551, 81.826172"
3632,"-28.741944, 24.771944"
3640,"53.751740000000005, -105.24971599999999"
3652,"57.10711800000001, 12.252091"
3661,"0.0, 0.0"
3663,"39.487938, -104.93210800000001"
3668,"0.0, 0.0"
3674,"3.420556, -76.522222"
3678,"36.852926000000004, -75.977985"
3682,"27.770306, -82.74718"
3699,"40.684963, -80.107138"
3700,"39.11376, -76.726777"
3728,"23.727107, 92.717639"
3736,"53.710071, 16.699360000000002"
3738,"32.346612, -86.167221"
3748,"41.523427000000005, -73.646795"
3749,"0.0, 0.0"
3761,"35.789782, -83.86892900000001"
