142,1011,"29.807988, -84.859352",us
143,1017,"48.945484, 2.037356",fr
144,1029,"32.237147, -80.860387",us
145,1031,"34.818831, -82.412391",us
146,1033,"26.527578000000002, -82.194817",us
147,1034,"32.237147, -80.860387",us
148,1040,"33.916403, -118.352575",us
149,1041,"37.280971, -79.896982",us
150,1057,"40.296217999999996, -75.082115",us
151,1058,"40.103874, -105.170819",us
152,1059,"38.807404, -122.740546",us
153,1063,"41.921110999999996, -71.435",us
154,1078,"14.058323999999999, 108.277199",vn
155,1097,"33.539165999999994, -112.55841399999998",us
156,1101,"39.612875, -84.248952",us
157,1109,"49.214439, -2.13125",je
158,1113,"46.729553, -94.6859",us
159,1118,"41.117744, -73.408158",us
160,1120,"-29.906301000000003, -71.25020400000001",cl
161,1124,"33.348216, -111.78958100000001",us
162,1128,"50.395140000000005, -3.513924",gb
163,1132,"0.0, 0.0",NULL
164,1135,"48.097456, -0.349277",fr
165,1146,"-25.274398, 133.775136",au
166,1153,"34.493484, -118.21636000000001",us
167,1163,"-7.33683, 110.49881699999999",id
168,1168,"33.745573, -117.867834",us
169,1171,"43.580418, 7.125102",fr
170,1172,"66.07583299999999, -23.126667",is
171,1177,"0.0, 0.0",NULL
172,1185,"28.459497, 77.026638",in
173,1192,"35.184870000000004, -80.79071",us
174,1203,"46.087817, -64.778231",ca
175,1205,"37.060704, -88.525335",us
176,1235,"30.099121000000004, -95.61581899999999",us
177,1237,"48.539371, -58.776848",ca
178,1253,"35.022484999999996, -114.58927",us
179,1282,"39.819722, -75.122778",us
180,1293,"25.317645000000002, 82.97391400000001",in
181,1316,"9.512017, 100.013593",th
182,1325,"39.898404, -81.827354",us
183,1329,"42.766667, -70.845833",us
184,1336,"39.617206, -8.652142",pt
185,1343,"36.505389, -117.079408",us
186,1348,"44.130575, -84.60724",us
187,1355,"41.184944, -112.014664",us
188,1358,"40.5725, -111.85972199999999",us
189,1359,"36.665547, -106.691032",us
190,1360,"41.734069, -81.242025",us
191,1368,"32.686184000000004, -114.19394399999999",us
192,1369,"32.686184000000004, -114.19394399999999",us
193,1375,"35.46756, -97.516428",us
194,1388,"43.193852, -71.572395",us
195,1389,"44.152565, -71.679528",us
196,1401,"47.497912, 19.040235",hu
197,1409,"25.566699, -108.46730500000001",mx
198,1410,"39.011902, -98.484246",us
199,1433,"43.804133, -120.554201",us
200,1455,"42.837263, -80.30404200000001",ca
201,1468,"31.596553999999998, 130.55711599999998",jp
202,1469,"28.535515999999998, 77.391026",in
203,1476,"-44.396972, 171.254973",nz
204,1480,"33.606775, -117.88971000000001",us
205,1494,"-37.953410999999996, 176.990801",nz
206,1512,"40.057838000000004, -74.137183",us
207,1528,"12.295810000000001, 76.639381",in
208,1537,"38.802609999999994, -116.419389",us
209,1540,"65.71295500000001, 18.718041",se
210,1543,"38.541057, -0.122494",es
211,1573,"43.151355, -79.39277",ca
212,1583,"38.550608000000004, -90.33317199999999",us
213,1594,"43.076113, -88.774271",us
214,1608,"16.691308, 74.244866",in
215,1610,"0.0, 0.0",NULL
216,1631,"22.564254000000002, 114.229432",cn
